# 1420 - Northern Barrens.txt
is_city = yes

owner = A84
controller = A84
add_core = A84

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_bloodhoof
religion = religion_ancestral

trade_goods = fur
hre = no

776.1.1 = {
    owner = B21
    controller = B21
    add_core = B21
    remove_core = A84

    culture = culture_gelkis
    religion = religion_earth
}

901.1.1 = {
    base_tax = 3
    base_manpower = 3
    base_production = 3
    add_core = A35
    owner = A35
    controller = A35
    capital = "Warsong Base"
    culture = culture_warsong
    religion = religion_ancestral
}

906.1.1 = {
    remove_core = A35
    add_core = B69
    owner = B69
    controller = B69
    culture = culture_razormane
    religion = religion_geomancy
    base_tax = 2
    base_manpower = 3
    base_production = 2
    capital = "Thorn Hill"
}
