# 1446 - Fort Triumph.txt
is_city = yes

owner = B68
controller = B68
add_core = B68

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_bristleback
religion = religion_geomancy

trade_goods = fur
hre = no

971.1.1 = {
    owner = G06
    controller = G06
    add_core = G06
    culture = culture_lordaeron
    religion = religion_church_of_the_light
    capital = "Fort Triumph"
    base_tax = 4
    base_manpower = 4
    base_production = 4
    trade_goods = army_supplies
}

# Fort Triumph Wrecked, Razormane are still in this general region
976.1.1 = { 
    capital = "Mangletooth's Camp"
    owner = B68
    controller = B68
    add_core = B68
    culture = culture_bristleback
    religion = religion_geomancy
    base_tax = 2
    base_manpower = 2
    base_production = 2
}




