# 1641 - Shattrath City.txt
is_city = yes

owner = A54
controller = A54
add_core = A54

base_tax = 4
base_production = 4
base_manpower = 4

culture = culture_shattrathi
religion = religion_light_of_the_naaru

trade_goods = artifacts
hre = no

592.1.1 = {
add_core = B88
owner = B88
controller = B88
religion = religion_shadow
culture = culture_horde
}

# Rise of the Qiraji
622.1.1 = {
owner = A54
controller = A54
add_core =  A54
culture = culture_shattrathi
religion = religion_light_of_the_naaru
base_tax = 8
base_manpower = 8
base_production = 8
}

