# 1666 - Sanctum of the Stars.txt
is_city = yes

owner = B89
controller = B89
add_core = B89

base_tax = 3
base_production = 3
base_manpower = 3

culture = culture_dragonmaw
religion = religion_fel

trade_goods = fel
hre = no

# The Frozen Throne
906.1.1 = {
  owner = A93
  controller = A93
  add_core =  A93
  remove_core = B89

  culture = culture_blood_elf
  religion = religion_arcane
}

# Rise of the Qiraji
926.1.1 = {
  owner = B87
  controller = B87
  add_core =  B87
  remove_core = A93

  religion = religion_fel
}

# The Burning Crusade
941.1.1 = {
  owner = A54
  controller = A54
  add_core =  A54
  remove_core = B87

  religion = religion_light_of_the_naaru

  trade_goods = arcane
}
