# 1923 - Scourge Bulwark.txt
is_city = yes

owner = P52
controller = P52
add_core = P52

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_scourge
religion = religion_the_damned

trade_goods = army_supplies
hre = no

# The Frozen Throne
906.1.1 = {
	add_core = F15
	owner = F15
	controller = F15

	religion = religion_fel
}

# Rise of the Qiraji
926.1.1 = {
	owner = P52
	controller = P52
	remove_core = F15

	religion = religion_the_damned
}

# Cataclysm
971.1.1 = {
	owner = P14
	controller = P14
	add_core = P14
  remove_core = P52

	culture = culture_forsaken
	religion = religion_forgotten_shadow
}
