# 2140 - Northshire Abbey.txt
is_city = yes

owner = A07
controller = A07
add_core = A07

base_tax = 3
base_production = 3
base_manpower = 3

culture = culture_azerothian
religion = religion_shadow

trade_goods = wine
hre = no

# The Burning Crusade
941.1.1 = {
	owner = A01
	controller = A01
  add_core = A01
	remove_core = A07

  religion = religion_church_of_the_light
}

# Cataclysm
971.1.1 = {
	owner = A41
	controller = A41
	add_core = A41

	culture = culture_blackrock
	religion = religion_fel
}

# Mists of Pandaria
976.1.1 = {
	owner = A01
	controller = A01
	remove_core = A41

	culture = culture_azerothian
	religion = religion_church_of_the_light
}
