# 2144 - Jasperlode Mine.txt
is_city = yes

owner = B15
controller = B15
add_core = B15
add_core = A01

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_riverpaw
religion = religion_geomancy

trade_goods = copper
hre = no

801.1.1 = { 
	owner = B58
	controller = B58
	add_core = B58
	culture = culture_goldtooth
	religion = religion_geomancy 
}

# The Third War
901.1.1 = { 
	owner = A01
	controller = A01
	culture = culture_azerothian
	religion = religion_church_of_the_light 
}

# Rise of the Qiraji
926.1.1 = { 
	owner = B58
	controller = B58
	add_core = B58
	culture = culture_goldtooth
	religion = religion_geomancy 
}
