# 2960 - Beren's Peril.txt
is_city = yes

owner = A18
controller = A18
add_core = A18

base_tax = 1
base_production = 2
base_manpower = 1

culture = culture_dalaran
religion = religion_arcane

trade_goods = salt
hre = no

# The Frozen Throne
906.1.1 = {
	owner = A25
	controller = A25
	add_core = A25
	remove_core = A18
}

# Rise of the Qiraji
926.1.1 = {
	owner = P52
	controller = P52
  add_core = P52
	remove_core = A25
	add_claim = H09

	base_tax = 2
	base_manpower = 2

	religion = religion_the_damned
	culture = culture_scourge
}

# Cataclysm
971.1.1 = {
	owner = H09
	controller = H09
	add_core = H09
	remove_core = P52

	base_production = 3
	base_manpower = 4

	culture = culture_dalaran
	religion = religion_arcane
}

# Mists of Pandaria
976.1.1 = {
	owner = P14
	controller = P14
	add_core = P14
  remove_core = H09

	base_manpower = 2
	base_production = 2

	culture = culture_forsaken
	religion = religion_forgotten_shadow
}
