# 2971 Undercroft
is_city = yes

base_tax = 1
base_manpower = 1
base_production = 1

add_core = P55
add_core = P62
add_core = A08
owner = P55
controller = P55
culture = culture_shadowglen
religion = religion_voodoo

hre = no
trade_goods = crypts

# The First War
592.1.1 = { 
	remove_core = P55
	owner = A08
	controller = A08
	culture = culture_lordaeron
	religion = religion_church_of_the_light 
}

# The Frozen Throne
618.1.1 = { 
	add_core = A62
	add_core = P52
	owner = A62
	controller = A62
	religion = religion_voodoo
	culture = culture_mossflayer
	remove_core = A08 
	remove_core = P62
}

# Rise of the Qiraji
622.1.1 = { 
	remove_core = A62
	owner = P52
	controller = P52
	religion = religion_the_damned
	culture = culture_undead_troll 
}
