# 3072 - Tyr's Foreground.txt
is_city = yes

owner = R04
controller = R04
add_core = R04

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_lordaeron
religion = religion_church_of_the_light

trade_goods = grain
hre = no


# The Frozen Throne
906.1.1 = {
	owner = P62
	controller = P62
	add_core = P62
	remove_core = R04
}

# Rise of the Qiraji
926.1.1 = {
	owner = A22
	controller = A22
	add_core = A22
	remove_core = P62

	religion = religion_scarlet_light
}

# Cataclysm
971.1.1 = {
	owner = X01
	controller = X01
	add_core = X01
	remove_core = A22

	culture = culture_forsaken
	religion = religion_fel
}

# Mists of Pandaria
976.1.1 = {
	owner = F19
	controller = F19
	add_core = F19
  remove_core = X01

	culture = culture_lordaeron
	religion = religion_argent_light
}
