# 3075 - Reanimatory
is_city = yes

add_core = A08
owner = A08
controller = A08

base_tax = 1
base_manpower = 1
base_production = 1

culture = culture_lordaeron
religion = religion_church_of_the_light
 
hre = no 
trade_goods = grain

# The Third War
618.1.1 = { 
	add_core = E52
}

# The Frozen Throne
618.1.1 = { 
	add_core = A10
	owner = A10
	controller = A10
	remove_core = A08
}

# Rise of the Qiraji
622.1.1 = {
	add_core = E12
	owner = E12
	controller = E12
	culture = culture_scourge
	religion = religion_the_damned
	base_tax = 6
	base_manpower = 7
	base_production = 6
}

# Wrath of the Lich King
626.1.1 = {
	add_core = E52
	remove_core = E12
	owner = E52
	controller = E52
	culture = culture_scourge
	religion = religion_the_damned
	base_tax = 1
	base_manpower = 1
	base_production = 1
}
