# 591 - Chillwind Camp.txt
is_city = yes

owner = B14
controller = B14
add_core = B14

base_tax = 3
base_production = 2
base_manpower = 3

culture = culture_mudsnout
religion = religion_geomancy

trade_goods = army_supplies
hre = no

# The Frozen Throne
906.1.1 = {
	add_core = F17
	controller = F17
	owner = F17
	remove_core = B14

	base_production = 3

	culture = culture_lordaeron
	religion = religion_church_of_the_light
}

# Rise of the Qiraji
926.1.1 = {
	owner = A24
	controller = A24
	add_core = A24
	remove_core = F17

	religion = religion_argent_light
}

#Wrath of the Lich King
946.1.1 = {
	owner = F19
	controller = F19
	add_core = F19
  remove_core = A24

	base_manpower = 4
}

# Cataclysm
971.1.1 = {
	owner = A01
	controller = A01
	add_core = A01
	remove_core = F19

	religion = religion_church_of_the_light
}
