# 601 - Kurzen's Compound.txt
is_city = yes

owner = A66
controller = A66
add_core = A66

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_gurubashi
religion = religion_voodoo

trade_goods = army_supplies
hre = no

901.1.1 = { 
owner = A01
controller = A01
add_core = A01
culture = culture_azerothian
religion = religion_church_of_the_light 
}

# Rise of the Qiraji
926.1.1 = { 
owner = F28
controller = F28
add_core = F28
religion = religion_voodoo 
}

976.1.1 = { 
owner = A66
controller = A66
remove_core = F28
religion = religion_voodoo
culture = culture_gurubashi
}



