# 760 Magisters Terrace
is_city = yes

add_core = A90
controller = A90
owner = A90

base_tax = 4
base_manpower = 4
base_production = 4

culture = culture_high_elf
religion = religion_arcane

hre = no
trade_goods = arcane

# The Frozen Throne
618.1.1 = {
	owner = F54
	controller = F54
	add_core = F54
	religion = religion_church_of_the_light
	remove_core = A90
}

# The Burning Crusade
625.1.1 = { 
	owner = G18
	controller = G18
	add_core = G18
	add_core = A91
	culture = culture_felblood_elf
	religion = religion_fel
}

# Wrath of the Lich King
626.1.1 = { 
	owner = A91
	controller = A91
	remove_core = G18
	culture = culture_blood_elf
	religion = religion_arcane
}
