# 860 - An'telas.txt
is_city = yes

owner = A90
controller = A90
add_core = A90

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_high_elf
religion = religion_arcane

trade_goods = arcane
hre = no

# The Frozen Throne
906.1.1 = {
	add_core = F21
	owner = F21
	controller = F21
	remove_core = A90

	culture = culture_ghost
	religion = religion_the_damned
}

# Rise of the Qiraji
926.1.1 = {
	owner = A94
	controller = A94
	add_core = A94
  remove_core = F21

	culture = culture_sentinel
	religion = religion_elune
}

#The Burning Crusade
941.1.1 = {
	owner = A91
	controller = A91
	add_core = A91
	remove_core = A94

	culture = culture_blood_elf
	religion = religion_arcane
}
